lat_range,year,daily_max_temp_avg,daily_mean_temp_avg,max_annual_temp,avg_therm_flux,avg_sky_ins,avg_toa_insolation,co2_ppm
46to47,1984,9.928577,9.800794,34,26.476284,12.879372,27.176393,344.65
46to47,1985,9.311736,9.193491,32.5,26.215507,13.471041,27.21674,346.12
46to47,1986,9.342048,9.210422,33.5,26.607973,12.786521,27.219123,347.42
46to47,1987,10.333088,10.195272,35,26.767479,13.090219,27.218712,349.19
46to47,1988,9.802458,9.691704,38,26.519208,12.997104,27.175273,351.57
46to47,1989,9.168779,9.044289,35,26.094192,12.724466,27.218603,353.12
46to47,1990,10.478222,10.34695,33,26.711781,12.916575,27.218164,354.39
46to47,1991,10.246964,10.127012,36,26.848438,13.353699,27.219096,355.61
46to47,1992,9.108964,9.000296,35,25.983934,12.732514,27.175355,356.45
46to47,1993,9.42491,9.328509,34,26.082247,12.617288,27.218795,357.1
46to47,1994,9.518459,9.471199,35,26.040685,12.824082,27.21926,358.83
46to47,1995,10.204128,10.111031,37,26.364082,12.990575,27.217671,360.82
46to47,1996,9.734857,9.637884,33.5,26.03224,12.633525,27.176776,362.61
46to47,1997,9.081643,8.952074,34,25.875205,13.209945,27.219562,363.73
46to47,1998,12.140894,11.991403,34,26.768137,13.987589,27.217671,366.7
46to47,1999,11.511653,11.380287,34.5,26.405644,14.087479,27.218521,368.38
46to47,2000,9.519802,9.414252,31.5,26.368033,12.609918,27.17612,369.55
46to47,2001,11.173309,11.019456,36,26.44789,13.106822,27.218027,371.14
46to47,2002,10.256725,10.067682,37,26.540356,13.283479,27.218082,373.28
46to47,2003,9.737992,9.59186,36,26.120658,13.288164,27.218877,375.8
46to47,2004,9.637568,9.516637,32.5,26.433552,12.847869,27.17612,377.52
46to47,2005,10.434617,10.335218,36,26.180466,13.734274,27.219014,379.8
46to47,2006,11.094156,10.981777,36,26.663644,13.011644,27.218438,381.9
46to47,2007,9.818624,9.723476,35,26.364219,13.389123,27.218822,383.79
46to47,2008,10.115431,9.974521,34.5,25.83153,13.606093,27.079863,385.6
46to47,2009,9.804961,9.705271,33,25.707781,14.063425,27.100082,387.43
46to47,2010,11.873383,11.691537,35.5,26.336575,14.066384,27.119123,389.9
46to47,2011,11.152196,10.834145,35.5,26.348356,13.433151,27.115945,391.65
46to47,2012,12.186125,12.216327,36,26.657541,14.218033,26.999617,393.85
46to47,2013,10.795287,10.899494,35,26.079507,12.965808,27.026575,396.52
46to47,2014,10.296342,10.231724,33.5,25.578192,12.930247,27.085178,398.65
46to47,2015,10.51032,10.584584,34.5,25.880411,13.460712,26.811973,400.83
46to47,2016,10.367567,10.258888,36,26.376667,14.075792,26.848333,404.24
46to47,2017,10.434203,10.347524,34,26.582959,13.277123,27.079918,406.55
46to47,2018,10.475518,3.581838,36.5,26.450027,13.037123,27.048466,408.52
46to47,2019,9.295364,9.902687,35.5,26.291562,12.694548,26.874274,411.44
47to49,1984,10.074111,10.009858,34,26.476284,12.879372,27.176393,344.65
47to49,1985,9.390389,9.32767,35,26.215507,13.471041,27.21674,346.12
47to49,1986,9.830396,9.723449,35.5,26.607973,12.786521,27.219123,347.42
47to49,1987,10.752259,10.665933,34.9,26.767479,13.090219,27.218712,349.19
47to49,1988,10.051595,9.98901,39,26.519208,12.997104,27.175273,351.57
47to49,1989,9.898122,9.838019,34.5,26.094192,12.724466,27.218603,353.12
47to49,1990,10.306942,10.24273,36,26.711781,12.916575,27.218164,354.39
47to49,1991,10.164672,10.095796,34.8,26.848438,13.353699,27.219096,355.61
47to49,1992,10.307276,10.202462,37,25.983934,12.732514,27.175355,356.45
47to49,1993,10.252811,10.174626,35,26.082247,12.617288,27.218795,357.1
47to49,1994,10.624319,10.578514,38,26.040685,12.824082,27.21926,358.83
47to49,1995,10.841411,10.805632,40,26.364082,12.990575,27.217671,360.82
47to49,1996,10.276089,10.223615,38,26.03224,12.633525,27.176776,362.61
47to49,1997,10.010911,9.944066,34,25.875205,13.209945,27.219562,363.73
47to49,1998,11.872958,11.783839,39,26.768137,13.987589,27.217671,366.7
47to49,1999,11.467666,11.397198,34.3,26.405644,14.087479,27.218521,368.38
47to49,2000,10.550446,10.495352,33.5,26.368033,12.609918,27.17612,369.55
47to49,2001,11.239538,11.158397,38.4,26.44789,13.106822,27.218027,371.14
47to49,2002,10.598719,10.524917,38.4,26.540356,13.283479,27.218082,373.28
47to49,2003,10.870859,10.826561,36.3,26.120658,13.288164,27.218877,375.8
47to49,2004,10.928344,10.863188,35.3,26.433552,12.847869,27.17612,377.52
47to49,2005,11.213399,11.184619,37,26.180466,13.734274,27.219014,379.8
47to49,2006,11.8372,11.750967,38,26.663644,13.011644,27.218438,381.9
47to49,2007,10.651173,10.574298,38,26.364219,13.389123,27.218822,383.79
47to49,2008,10.598771,10.550625,34,25.83153,13.606093,27.079863,385.6
47to49,2009,10.69392,10.660991,39,25.707781,14.063425,27.100082,387.43
47to49,2010,11.661264,11.6465,36,26.336575,14.066384,27.119123,389.9
47to49,2011,10.882851,10.901746,33.5,26.348356,13.433151,27.115945,391.65
47to49,2012,11.662089,11.613733,36,26.657541,14.218033,26.999617,393.85
47to49,2013,10.868174,10.834404,33.5,26.079507,12.965808,27.026575,396.52
47to49,2014,11.349243,11.391797,36,25.578192,12.930247,27.085178,398.65
47to49,2015,11.608747,11.619105,37,25.880411,13.460712,26.811973,400.83
47to49,2016,11.409153,11.347075,36,26.376667,14.075792,26.848333,404.24
47to49,2017,11.130308,11.013064,36.5,26.582959,13.277123,27.079918,406.55
47to49,2018,11.164063,11.162081,37,26.450027,13.037123,27.048466,408.52
47to49,2019,10.617833,11.481069,34.5,26.291562,12.694548,26.874274,411.44
49to51,1984,10.941978,10.845835,38,26.476284,12.879372,27.176393,344.65
49to51,1985,10.309212,10.253267,39.1,26.215507,13.471041,27.21674,346.12
49to51,1986,11.616113,11.532192,37.5,26.607973,12.786521,27.219123,347.42
49to51,1987,13.111527,13.018948,38.5,26.767479,13.090219,27.218712,349.19
49to51,1988,11.996972,11.896499,41,26.519208,12.997104,27.175273,351.57
49to51,1989,11.201614,11.122606,39,26.094192,12.724466,27.218603,353.12
49to51,1990,11.779071,11.709663,39,26.711781,12.916575,27.218164,354.39
49to51,1991,11.676103,11.62286,37.5,26.848438,13.353699,27.219096,355.61
49to51,1992,12.03881,11.94318,38,25.983934,12.732514,27.175355,356.45
49to51,1993,10.908899,10.843444,36.5,26.082247,12.617288,27.218795,357.1
49to51,1994,11.885766,11.822894,41.5,26.040685,12.824082,27.21926,358.83
49to51,1995,11.411133,11.40525,38,26.364082,12.990575,27.217671,360.82
49to51,1996,9.903384,9.847322,38,26.03224,12.633525,27.176776,362.61
49to51,1997,11.63897,11.559234,37.5,25.875205,13.209945,27.219562,363.73
49to51,1998,12.638373,12.572827,41,26.768137,13.987589,27.217671,366.7
49to51,1999,11.816685,11.728349,37.5,26.405644,14.087479,27.218521,368.38
49to51,2000,11.201268,11.128154,37.3,26.368033,12.609918,27.17612,369.55
49to51,2001,11.78132,11.703558,39,26.44789,13.106822,27.218027,371.14
49to51,2002,10.926645,10.818979,39.5,26.540356,13.283479,27.218082,373.28
49to51,2003,11.912358,11.846751,39.9,26.120658,13.288164,27.218877,375.8
49to51,2004,11.615082,11.536249,39,26.433552,12.847869,27.17612,377.52
49to51,2005,11.717264,11.685563,39,26.180466,13.734274,27.219014,379.8
49to51,2006,12.405011,12.333856,40,26.663644,13.011644,27.218438,381.9
49to51,2007,11.242784,11.193436,40.5,26.364219,13.389123,27.218822,383.79
49to51,2008,10.700776,10.63651,41,25.83153,13.606093,27.079863,385.6
49to51,2009,10.910226,10.840643,40,25.707781,14.063425,27.100082,387.43
49to51,2010,11.568237,11.564291,41,26.336575,14.066384,27.119123,389.9
49to51,2011,10.941046,10.864525,37,26.348356,13.433151,27.115945,391.65
49to51,2012,11.931919,11.886934,38,26.657541,14.218033,26.999617,393.85
