lat_range,year,summer_max_temp_avg,summer_mean_temp_avg,summer_max_temp,summer_avg_therm_flux,summer_avg_sky_insolation,summer_avg_toa_insolation,co2_ppm
46to47,"1,984",24.520161,18.945027,33,31.656774,19.519032,38.103065,344.65
46to47,"1,985",23.716194,17.59175,32.5,31.224839,20.045484,38.135968,346.12
46to47,"1,986",22.219803,16.776747,33.5,31.581935,18.962419,38.172258,347.42
46to47,"1,987",23.892399,17.75612,35,32.037419,18.962258,38.205484,349.19
46to47,"1,988",24.789547,19.153456,38,32.506613,19.047419,38.09371,351.57
46to47,"1,989",24.68084,18.193963,35,31.256613,19.901452,38.130806,353.12
46to47,"1,990",24.646033,18.707759,33,31.205968,19.391129,38.167258,354.39
46to47,"1,991",24.807415,18.663752,36,31.394032,20.020806,38.203065,355.61
46to47,"1,992",22.136778,16.647208,32.3,30.534194,16.642903,38.086613,356.45
46to47,"1,993",25.050903,19.073475,34,31.864516,20.219516,38.126452,357.1
46to47,"1,994",23.828974,18.227968,33,30.972742,18.403871,38.161774,358.83
46to47,"1,995",25.097063,19.063093,37,32.218065,19.757903,38.195484,360.82
46to47,"1,996",23.626797,18.095648,33,30.377581,20.439355,38.083065,362.61
46to47,"1,997",23.740929,17.689474,33.5,30.761774,18.796129,38.121129,363.73
46to47,"1,998",24.227055,18.276291,34,30.998387,21.008226,38.155484,366.7
46to47,"1,999",24.431047,18.55487,34,31.505806,20.523548,38.189516,368.38
46to47,"2,000",23.489674,17.638559,30.5,30.608871,18.834032,38.077419,369.55
46to47,"2,001",24.558319,18.404123,36,31.099516,20.094516,38.113871,371.14
46to47,"2,002",25.238869,19.070875,36,31.125645,22.211129,38.147581,373.28
46to47,"2,003",23.940088,18.743244,31.5,31.125806,20.352581,38.184839,375.8
46to47,"2,004",23.440892,18.08367,32,31.002258,19.054516,38.072903,377.52
46to47,"2,005",25.393547,19.159211,36,31.787419,19.343548,38.109032,379.8
46to47,"2,006",24.332011,18.425863,36,31.675484,20.097581,38.142258,381.9
46to47,"2,007",23.589184,17.44447,34.5,31.228387,19.715161,38.178065,383.79
46to47,"2,008",23.606185,18.236334,34.5,30.862742,21.072097,38.020968,385.6
46to47,"2,009",23.222738,18.10714,33,31.062581,19.216935,38.079032,387.43
46to47,"2,010",25.529596,19.643209,35.5,32.350484,19.948065,38.188226,389.9
46to47,"2,011",24.847165,19.173318,35.5,31.972097,21.341774,38.20871,391.65
46to47,"2,012",25.710782,19.623825,36,31.68629,21.164516,37.992581,393.85
46to47,"2,013",24.650326,18.881058,35,31.229355,19.730806,37.875484,396.52
46to47,"2,014",24.122108,18.574381,33.5,30.568226,19.817419,37.935968,398.65
46to47,"2,015",24.486324,18.979865,34.5,30.735161,20.534194,37.898548,400.83
46to47,"2,016",24.920513,19.226289,36,32.227419,21.45629,37.869677,404.24
46to47,"2,017",23.622396,17.704503,31.5,31.168871,19.180161,37.907581,406.55
46to47,"2,018",26.578272,20.386626,36.5,32.055161,20.091613,37.941613,408.52
46to47,"2,019",25.584562,19.512281,35.5,31.547258,21.625484,37.974839,411.44
47to49,"1,984",22.268923,17.030123,34,31.656774,19.519032,38.103065,344.65
47to49,"1,985",22.245238,16.52619,35,31.224839,20.045484,38.135968,346.12
47to49,"1,986",21.288889,15.856475,35.5,31.581935,18.962419,38.172258,347.42
47to49,"1,987",22.098387,16.398048,34.9,32.037419,18.962258,38.205484,349.19
47to49,"1,988",22.308069,16.890846,34.7,32.506613,19.047419,38.09371,351.57
47to49,"1,989",21.83671,16.488727,34.3,31.256613,19.901452,38.130806,353.12
47to49,"1,990",22.999338,17.301823,36,31.205968,19.391129,38.167258,354.39
47to49,"1,991",21.690213,16.382502,34.8,31.394032,20.020806,38.203065,355.61
47to49,"1,992",20.87583,15.846132,36,30.534194,16.642903,38.086613,356.45
47to49,"1,993",21.173115,16.323703,35,31.864516,20.219516,38.126452,357.1
47to49,"1,994",22.418519,16.978416,38,30.972742,18.403871,38.161774,358.83
47to49,"1,995",22.331012,16.935781,40,32.218065,19.757903,38.195484,360.82
47to49,"1,996",22.373808,16.998734,38,30.377581,20.439355,38.083065,362.61
47to49,"1,997",21.99414,16.868028,34,30.761774,18.796129,38.121129,363.73
47to49,"1,998",22.649814,17.430373,39,30.998387,21.008226,38.155484,366.7
47to49,"1,999",22.300513,17.162656,33.5,31.505806,20.523548,38.189516,368.38
47to49,"2,000",21.528228,16.427892,33,30.608871,18.834032,38.077419,369.55
47to49,"2,001",22.013582,16.793556,38.4,31.099516,20.094516,38.113871,371.14
47to49,"2,002",22.585787,17.1257,38.4,31.125645,22.211129,38.147581,373.28
47to49,"2,003",22.537943,17.300701,36,31.125806,20.352581,38.184839,375.8
47to49,"2,004",22.799439,17.558103,35.3,31.002258,19.054516,38.072903,377.52
47to49,"2,005",23.194357,17.470176,37,31.787419,19.343548,38.109032,379.8
47to49,"2,006",22.496264,17.038081,38,31.675484,20.097581,38.142258,381.9
47to49,"2,007",21.915358,16.70035,38,31.228387,19.715161,38.178065,383.79
47to49,"2,008",21.976767,16.999651,34,30.862742,21.072097,38.020968,385.6
47to49,"2,009",22.090373,17.002418,39,31.062581,19.216935,38.079032,387.43
47to49,"2,010",22.774593,17.497089,36,32.350484,19.948065,38.188226,389.9
47to49,"2,011",21.66945,16.835603,32.5,31.972097,21.341774,38.20871,391.65
47to49,"2,012",22.835325,17.641283,36,31.68629,21.164516,37.992581,393.85
47to49,"2,013",22.642016,17.328297,33.5,31.229355,19.730806,37.875484,396.52
47to49,"2,014",23.256433,18.066283,36,30.568226,19.817419,37.935968,398.65
47to49,"2,015",23.097529,17.991667,36,30.735161,20.534194,37.898548,400.83
47to49,"2,016",22.688097,17.642926,36,32.227419,21.45629,37.869677,404.24
47to49,"2,017",22.891114,17.141613,36,31.168871,19.180161,37.907581,406.55
47to49,"2,018",24.280048,18.630039,37,32.055161,20.091613,37.941613,408.52
47to49,"2,019",22.91481,17.660328,33.5,31.547258,21.625484,37.974839,411.44
49to51,"1,984",24.424071,17.922998,38,31.656774,19.519032,38.103065,344.65
49to51,"1,985",24.093342,17.470305,39.1,31.224839,20.045484,38.135968,346.12
49to51,"1,986",22.998264,16.934254,37.5,31.581935,18.962419,38.172258,347.42
49to51,"1,987",22.661998,16.843318,38.5,32.037419,18.962258,38.205484,349.19
49to51,"1,988",23.975841,17.599781,39.5,32.506613,19.047419,38.09371,351.57
49to51,"1,989",23.268363,17.394446,39,31.256613,19.901452,38.130806,353.12
