YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1984,5.7,6.61,6,7.11,7.67,8.41,8.77,8.93,8.07,7.85,6.76,6.6,7.37
1985,5.62,5.72,6.65,7.44,8.03,8.08,8.85,8.63,8.59,7.75,6.91,5.78,7.34
1986,6.06,5.94,6.74,7.27,8.06,8.32,8.94,8.53,8.32,7.52,6.71,6.16,7.39
1987,5.86,5.81,6.61,7.39,8.06,8.61,9.05,8.71,8.3,7.24,7.08,6.41,7.44
1988,5.99,5.98,6.46,7.02,7.93,8.37,9.09,9.04,8.07,7.46,7,6.26,7.4
1989,6.18,5.93,6.56,6.65,7.73,8.56,8.71,8.62,8.07,7.48,6.82,5.73,7.26
1990,6.33,6.19,6.81,7.24,7.67,8.47,8.7,8.67,8.21,7.44,7,6.31,7.43
1991,5.97,6.25,6.4,7.47,8.34,8.36,8.73,8.7,8.1,7.66,6.9,6.31,7.44
1992,6.11,6.13,6.11,6.97,7.74,8.05,8.6,8.46,8.2,7.38,6.88,6.51,7.26
1993,6.28,5.6,6.22,7.04,7.78,8.35,8.84,8.8,7.92,7.49,6.72,6.18,7.28
1994,5.52,5.71,6.19,7.06,7.53,8.49,8.8,8.41,8.1,7.36,7.07,6.41,7.23
1995,6.32,5.84,6.49,6.82,7.65,8.63,8.95,8.87,7.92,7.57,6.64,5.69,7.29
1996,5.88,5.94,6.17,6.95,7.41,8.67,8.44,8.46,8.17,7.5,6.59,6.42,7.22
1997,5.9,6.05,6.38,6.64,7.26,8.38,8.64,8.5,8.04,7.43,6.59,6.06,7.16
1998,6.21,6.14,6.81,6.79,8.15,8.52,8.56,8.69,8.32,7.34,6.93,6.52,7.42
1999,5.83,6.11,6.01,6.78,7.83,8.7,8.92,8.55,8.17,7.37,7.11,6.35,7.32
2000,5.93,6.3,6.85,7,8,8.55,8.47,8.55,8.16,7.48,6.8,5.69,7.32
2001,5.89,6.12,6.29,7.1,7.81,8.59,8.64,8.67,7.96,7.53,7.11,6.52,7.36
2002,6.36,6.22,6.4,7.33,7.41,8.53,8.84,8.54,8.31,7.54,6.87,6.17,7.38
2003,5.73,5.67,6.36,6.97,7.63,8.29,8.66,8.79,8.13,7.44,7.16,6.5,7.29
2004,5.48,5.65,6.78,7.03,8.11,8.3,8.77,8.62,8.19,7.64,6.91,6.18,7.31
2005,5.7,5.87,6.2,6.89,7.55,8.95,8.9,8.81,8.14,7.52,6.99,5.77,7.28
2006,6.38,5.97,6.28,6.96,8.03,8.52,8.91,8.69,8.18,7.36,6.99,6.51,7.41
2007,6.03,5.19,6.67,7.08,7.79,8.49,8.64,8.77,8.28,8.15,6.55,6,7.32
2008,6.21,5.89,6.08,7.12,7.62,8.93,8.97,8.63,8.36,7.14,6.76,6.24,7.33
2009,5.49,5.89,6.18,7.15,7.65,8.49,8.72,8.9,8.09,7.59,6.87,6.1,7.27
2010,5.95,6.01,6.54,7.21,8.1,8.83,9.07,9.12,8.49,7.39,6.69,6.02,7.46
2011,5.7,5.84,6.32,7.26,8.29,8.63,9.15,8.93,8.53,7.54,6.96,6.45,7.48
2012,6.24,6.23,7.12,6.84,8.19,8.69,9.22,8.74,8.04,7.79,6.67,6.62,7.54
2013,6.37,6.19,6.33,6.87,7.64,8.44,9.02,8.47,8.03,7.58,6.7,6.32,7.34
2014,5.76,5.5,5.87,6.74,7.71,8.43,8.54,8.56,8.12,7.73,6.79,6.72,7.22
2015,5.74,5.25,5.93,6.75,7.85,8.27,8.49,8.67,8.53,7.55,6.99,7.16,7.28
2016,6.23,6.23,6.65,6.6,7.47,8.13,8.98,9.11,8.42,7.67,6.93,6.47,7.41
2017,6.56,6.5,6.37,7.21,7.74,8.44,8.85,8.62,8.28,7.93,6.99,6.06,7.47
2018,6.02,6.27,5.99,6.58,7.89,8.41,8.88,9.16,8.68,7.84,6.87,6.69,7.45
