ddate,IRR,STD
1984-10-25,1364.8,0.1
1984-10-26,1365.4,0.2
1984-10-29,1365.2,0
1984-11-01,1366,0
1984-11-05,1365.4,0.1
1984-11-12,1365.3,0.5
1984-11-20,1365.3,0.2
1984-11-26,1364.8,0.4
1984-12-03,1365.3,0.4
1984-12-10,1365.4,0.4
1984-12-17,1365.5,0.2
1984-12-28,1364.9,0
1985-01-09,1365.1,0.1
1985-01-23,1365.1,0
1985-02-06,1365.5,0.2
1985-02-20,1364.8,0.3
1985-03-06,1364.9,0.3
1985-03-20,1364.9,0.3
1985-04-03,1364.5,0.2
1985-04-17,1364.9,0.1
1985-05-01,1364.1,0.2
1985-05-08,1364.2,0.5
1985-05-29,1364.2,0.5
1985-06-18,1364.8,0.1
1985-06-26,1364.7,0.2
1985-07-10,1363.7,0.2
1985-07-24,1364.3,0.2
1985-08-07,1365.1,0.1
1985-08-21,1364.5,0.3
1985-09-04,1364.5,0
1985-09-18,1364.7,0.2
1985-10-02,1364.6,0.1
1985-10-16,1364.9,0.3
1985-10-21,1365.3,0.2
1985-10-31,1365.7,0.2
1985-11-13,1365.1,0.1
1985-11-27,1364.7,0.4
1985-12-18,1364.6,0.2
1985-12-25,1364.8,0.2
1986-01-08,1365.1,0.3
1986-01-22,1365.1,0.1
1986-02-05,1364.2,0.2
1986-02-15,1364.5,0.1
1986-02-26,1364.8,0.2
1986-03-05,1364.7,0.1
1986-03-19,1364.4,0.3
1986-04-02,1364.8,0.2
1986-04-16,1364.2,0.1
1986-04-30,1364.6,0.1
1986-05-14,1364.7,0.2
1986-05-28,1364.4,0.3
1986-06-04,1364.4,0.3
1986-06-19,1364.7,0.1
1986-06-25,1364.3,0.2
1986-07-09,1364.3,0
1986-07-23,1365.3,0.1
1986-08-17,1364.6,0.3
1986-08-28,1364.4,0.4
1986-09-03,1364.9,0.3
1986-09-17,1364.7,0
1986-10-01,1364.6,0.3
1986-10-15,1364.6,0.1
1986-10-29,1364.8,0.3
1986-11-12,1364.7,0.4
1986-11-26,1364.5,0.3
1986-12-04,1364.8,0.2
1986-12-18,1364.5,0.9
1986-12-24,1364.5,0.3
1987-01-07,1365,0.4
1987-01-21,1365.9,0.2
1987-02-15,1364.7,0.3
1987-02-26,1364.7,0.4
1987-03-04,1364.7,0.4
1987-03-18,1365,0.2
1987-04-01,1364.6,0.2
1987-04-29,1364.6,0.2
1987-05-13,1365.4,0.1
1987-05-27,1364.9,0.2
1987-06-03,1364.9,0.1
1987-06-18,1364.9,0.4
1987-06-24,1364.4,0.3
1987-07-08,1365.3,0.5
1987-07-22,1365,0.1
1987-08-05,1364.9,0.1
1987-08-12,1364.8,0
1987-08-28,1365.1,0.1
1987-09-02,1364.9,0
1987-09-09,1364.9,0
1987-09-16,1365.4,0.1
1987-09-30,1364.6,0.2
1987-10-14,1364.4,0.3
1987-10-28,1364.9,0.2
1987-11-11,1365.4,1.1
1987-11-25,1365.3,1.3
1987-12-18,1365.4,1.1
1987-12-23,1365.8,1
1988-01-06,1365.7,0.1
1988-01-20,1364.6,0.6
1988-02-03,1365.2,0
1988-02-14,1364.9,0.1
1988-02-25,1365.4,0.3
1988-03-02,1365,0.1
1988-03-16,1365.2,0.3
1988-03-29,1365,0.3
1988-04-13,1365.2,0.1
1988-04-27,1365.1,0.1
1988-05-11,1365.8,0
